2026-03-21T14:58:50.470Z JOY-001C item.created "AI self-update check at session start" [horst.schwarz@joydev.com]
2026-03-21T15:25:29.137Z JOY-0007 item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T15:46:33.924Z JOY-0007 comment.added "[x] Renamed --size to --effort (-e) everywhere (CLI, data model, YAML, AI instructions). [x] Renamed --show to --columns (-c) in ls. [x] Fixed -s to always mean --status. [x] Fixed -a to always mean --all, -A for --assignee in edit. [x] Added short flags in ls: -s, -p, -m, -M, -b, -g. [x] --tree stays long-only. [x] Updated all YAML items (joy + umbrella). [x] Updated .gitignore in all repos to include .joy/ai/. [x] Released as v0.3.0." [horst.schwarz@joydev.com]
2026-03-21T15:46:36.819Z JOY-0007 item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T16:18:13.516Z JOY-001E item.created "Kanban-style board view as default for joy command" [horst.schwarz@joydev.com]
2026-03-21T16:18:22.006Z JOY-001E comment.added "Plan: Rewrite crates/joy-cli/src/commands/board.rs. (1) Header: project name from project.yaml, created date from oldest item or project init, last change from event log, total item count. (2) Columns: one per status that has items, empty stati as 1-char thin column. Distribute terminal width proportionally by item count. (3) Items: adaptive layout -- wide (>30 cols): ID+emojis+title one line; medium (20-30): ID+emojis line 1, title line 2; narrow (<20): ID line 1, emojis line 2. No blank lines between items in wide mode. (4) Height: terminal height - 3, truncate with '...' per column, --all disables limit. (5) Footer: summary line (open/in-progress/closed/blocked counts). (6) Borders: dashed lines matching joy ls style." [horst.schwarz@joydev.com]
2026-03-21T16:18:28.656Z JOY-001E item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T16:49:19.690Z JOY-001F item.created "config set accepts invalid values, load_config silently falls back to defaults" [horst.schwarz@joydev.com]
2026-03-21T16:49:25.800Z JOY-001F comment.added "Two related issues: (1) config set accepts any value without schema validation -- e.g. 'joy config set output.color false' stores a boolean, but ColorMode expects auto/always/never. (2) load_config in store.rs uses unwrap_or_default on deserialization, silently returning the full default config when any field has an invalid type. Combined effect: setting one field to an invalid value resets the entire config to defaults without warning." [horst.schwarz@joydev.com]
2026-03-21T16:49:37.491Z JOY-001F item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T16:50:32.085Z JOY-001F comment.added "Fixed: (A) load_config now warns to stderr instead of silently falling back to defaults. (B) config set validates the merged config against the Config struct before writing -- rejects invalid values with a clear error message." [horst.schwarz@joydev.com]
2026-03-21T16:50:32.087Z JOY-001F item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T17:24:31.808Z JOY-001E comment.added "[x] Kanban board with header/footer, adaptive columns (wide/medium/narrow). [x] Height-aware with +N more overflow. [x] Empty status columns as thin placeholders. [x] joy --all / joy -a support. [x] Compact emoji-only indicators in wide mode, no icons in medium/narrow. [x] Consistent header/footer formatting." [horst.schwarz@joydev.com]
2026-03-21T17:24:35.497Z JOY-001E item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T17:24:41.353Z JOY-0020 item.created "Reverse sort flag (-r/--reverse) for board and ls" [horst.schwarz@joydev.com]
2026-03-21T17:24:46.951Z JOY-0020 comment.added "Plan: (1) Board: reverse items per column (newest first by default). (2) Add -r/--reverse to BoardArgs and LsArgs. (3) Board with -r: oldest first. (4) ls with -r: newest first (reverse ID order). (5) Check if -r conflicts with rm --recursive -- no, rm is a different subcommand." [horst.schwarz@joydev.com]
2026-03-21T17:24:56.234Z JOY-0020 item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T17:26:48.135Z JOY-0020 comment.added "[x] Board default: newest first per column. [x] -r/--reverse on board, ls, and top-level joy. [x] ls -r shows newest first." [horst.schwarz@joydev.com]
2026-03-21T17:26:48.354Z JOY-0020 item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T17:50:52.065Z JOY-0021 item.created "Auto-completion for config/project set/get" [horst.schwarz@joydev.com]
2026-03-21T17:58:30.075Z JOY-001D comment.added "Plan: (1) After running setup in the current project, scan subdirectories (max 2 levels deep) for .joy/project.yaml. For each found nested project, check if the current AI tool's config exists there. If not, print a warning with the path and suggest running joy ai setup there. (2) Add a note to Tutorial Mission 8 about nested projects. (3) Add a note to umbrella Architecture.md about per-project AI config." [horst.schwarz@joydev.com]
2026-03-21T17:58:33.679Z JOY-001D item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T18:01:08.435Z JOY-001D comment.added "[x] Scan subdirectories (2 levels) for nested Joy projects after setup. [x] Warn if any nested project lacks AI tool config. [x] Tutorial Mission 8 updated with nested project note. [x] Umbrella Architecture.md updated." [horst.schwarz@joydev.com]
2026-03-21T18:01:09.236Z JOY-001D item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T18:04:24.806Z JOY-0021 comment.added "Plan: Add shell completions for joy config get/set and joy project keys. (1) For config: collect known keys from the Config struct (dotted paths like output.color, output.emoji, agents.default.interaction-level). (2) For project: collect known keys from the Project struct (name, acronym, description, language). (3) Wire up clap_complete ArgValueCompleter for the key arguments. Check how item ID completion is already done for reference." [horst.schwarz@joydev.com]
2026-03-21T18:04:28.617Z JOY-0021 item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T18:06:48.984Z JOY-0021 comment.added "[x] Static completion for all known config keys (output.*, sync.*, ai.*, agents.default.interaction-level). [x] Dynamic completion for custom agent role keys from current config. [x] Wired up for both config get and config set." [horst.schwarz@joydev.com]
2026-03-21T18:06:49.491Z JOY-0021 item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T18:10:03.327Z JOY-0022 item.created "Unify project command with get/set subcommands" [horst.schwarz@joydev.com]
2026-03-21T18:10:07.212Z JOY-0022 item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
